Ticker,Name,Sector,Industry,Price,Collection,Ratios Code
COH,"Coach, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,WIKI/COH,stocks/coh,DMDRN/COH_ALLFINANCIALRATIOS
COL,Rockwell Collins Inc.,Industrial Goods,Aerospace/Defense Products & Services,WIKI/COL,stocks/col,DMDRN/COL_ALLFINANCIALRATIOS
COP,ConocoPhillips,Basic Materials,Independent Oil & Gas,WIKI/COP,stocks/cop,DMDRN/COP_ALLFINANCIALRATIOS
COST,Costco Wholesale Corporation,Services,"Discount, Variety Stores",WIKI/COST,stocks/cost,DMDRN/COST_ALLFINANCIALRATIOS
COV,Covidien plc,Healthcare,Medical Instruments & Supplies,WIKI/COV,stocks/cov,DMDRN/COV_ALLFINANCIALRATIOS
CPB,Campbell Soup Company,Consumer Goods,Processed & Packaged Goods,WIKI/CPB,stocks/cpb,DMDRN/CPB_ALLFINANCIALRATIOS
CSC,Computer Sciences Corporation,Technology,Information Technology Services,WIKI/CSC,stocks/csc,DMDRN/CSC_ALLFINANCIALRATIOS
CSCO,"Cisco Systems, Inc.",Technology,Networking & Communication Devices,WIKI/CSCO,stocks/csco,DMDRN/CSCO_ALLFINANCIALRATIOS
CSX,CSX Corp.,Services,Railroads,WIKI/CSX,stocks/csx,DMDRN/CSX_ALLFINANCIALRATIOS
CTAS,Cintas Corporation,Services,Business Services,WIKI/CTAS,stocks/ctas,DMDRN/CTAS_ALLFINANCIALRATIOS
CTL,"CenturyLink, Inc.",Technology,Telecom Services - Domestic,WIKI/CTL,stocks/ctl,DMDRN/CTL_ALLFINANCIALRATIOS
CTSH,Cognizant Technology Solutions Corporation,Technology,Business Software & Services,WIKI/CTSH,stocks/ctsh,DMDRN/CTSH_ALLFINANCIALRATIOS
CTXS,"Citrix Systems, Inc.",Technology,Business Software & Services,WIKI/CTXS,stocks/ctxs,DMDRN/CTXS_ALLFINANCIALRATIOS
CVC,Cablevision Systems Corporation,Services,CATV Systems,WIKI/CVC,stocks/cvc,DMDRN/CVC_ALLFINANCIALRATIOS
CVS,CVS Caremark Corporation,Services,Drug Stores,WIKI/CVS,stocks/cvs,DMDRN/CVS_ALLFINANCIALRATIOS
